plot_code;lat;long;n_plots;plot_size_m2;sampled_area_ha;n_census;interval_length;plot_code_interval;year_i;year_f;year;forest_type;site_area_ha;c_stocks_i;c_stocks_f;c_gains;c_losses;net_c_sink;crt;ph;p;k;ca;mg;al;sb;cec;som;clay;map;cwd;mat;max_temp;elevation;co2_i;co2_f;co2_change;co2_atm
BAH_07;-14.47048333;-44.18843333;51;400;2.04;2;7;BAH_07_2002_2009;2002;2009;2005.5;Deciduous;25;45.72817358;43.2763378;0.884310868;1.256884828;-0.372573959;48.9379237;7.052941176;15.50588235;75.01960784;11.62941176;1.517647059;0;13.33892482;13.34705882;4.711764706;11.37254902;907.6502331;789.3231275;24.14387187;30.2513721;644;373.28;387.43;2.021428571;380.355
BOC_01;-22.161732;-44.465836;10;400;0.4;2;6;BOC_01_2004_2010;2004;2010;2007;Evergreen;3;139.162178;169.2349171;7.005063708;1.719278589;5.285785119;24.15894047;4.57;3.01;40.7;0.75;0.3;1.69;1.154092072;2.93;4.16;28.4;1739.353961;181.5798398;18.08478486;24.30631706;1150;377.52;389.9;2.063333333;383.71
BOC_02;-22.2175;-44.5389;26;400;1.04;4;5;BOC_02_2001_2006;2001;2006;2003.5;Evergreen;20;89.94397427;95.26157665;2.797145666;1.685235009;1.111910658;34.05670924;4.4;1.784615385;14.73076923;0.338461538;0.119230769;1.792307692;0.495366909;2.273076923;3.557692308;36.61538462;1697.727817;171.7560926;17.45635657;23.58509291;1298;371.14;381.9;2.152;376.52
BOC_02;-22.2175;-44.5389;26;400;1.04;4;8;BOC_02_2006_2014;2006;2014;2010;Evergreen;20;95.26157665;103.8430715;2.900522243;1.749743787;1.150778457;35.80150841;4.4;1.784615385;14.73076923;0.338461538;0.119230769;1.792307692;0.495366909;2.273076923;3.557692308;36.61538462;1734.329589;161.5393294;17.41727904;23.54601536;1298;381.9;398.65;2.09375;390.275
BOC_02;-22.2175;-44.5389;26;400;1.04;4;5;BOC_02_2014_2019;2014;2019;2016.5;Evergreen;20;103.8430715;108.3764233;2.747530352;1.799606485;0.947923868;39.44503223;4.4;1.784615385;14.73076923;0.338461538;0.119230769;1.792307692;0.495366909;2.273076923;3.557692308;36.61538462;1478.18038;186.0775987;17.93991064;24.06864707;1298;398.65;411.44;2.558;405.045
BON_01;-15.3116;-44.7349;15;400;0.6;3;5;BON_01_2011_2016;2011;2016;2013.5;Deciduous;17;119.369689;120.0005737;1.269420151;1.137502175;0.131917976;94.53180142;6.026666667;10.54666667;147.4666667;4.574666667;0.904666667;0;5.856485934;5.859333333;2.325333333;20.6;876.2232415;795.4806782;24.12367238;30.72215538;626;391.65;404.24;2.518;397.945
BON_01;-15.3116;-44.7349;15;400;0.6;3;2;BON_01_2016_2018;2016;2018;2017;Deciduous;17;120.0005737;104.032474;1.106997393;9.236356949;-8.129359556;93.97716259;6.026666667;10.54666667;147.4666667;4.574666667;0.904666667;0;5.856485934;5.859333333;2.325333333;20.6;860.4624816;792.0300788;24.34710999;30.94559291;626;404.24;408.52;2.14;406.38
COQ_01;-21.094633;-45.348231;20;400;0.8;3;4;COQ_01_2007_2011;2007;2011;2009;Semideciduous;59;94.8883929;91.34352677;3.064156417;3.982631232;-0.918474814;29.81033418;4.665;2.78;92.1;1.325;0.43;2.135;1.990549872;4.125;6.55;18.7;1728.944476;253.3601923;20.19808594;26.45959687;952;383.79;391.65;1.965;387.72
COQ_01;-21.094633;-45.348231;20;400;0.8;3;8;COQ_01_2011_2019;2011;2019;2015;Semideciduous;59;91.34352677;95.67594295;2.355876609;1.774899599;0.58097701;40.61161037;4.665;2.78;92.1;1.325;0.43;2.135;1.990549872;4.125;6.55;18.7;1402.826161;284.3370347;20.57885594;26.84036695;952;391.65;411.44;2.47375;401.545
COQ_02;-21.1553;-45.4714;25;400;1;3;6;COQ_02_2002_2008;2002;2008;2005;Semideciduous;10;148.1302267;156.9499248;3.701768089;2.151559156;1.550208933;42.3986379;5.216;1.388;77.92;3.088;1.068;1.04;4.355283887;5.396;3.584;56.4;1537.063124;275.2622507;20.81797579;27.40365373;814;373.28;385.6;2.053333333;379.44
COQ_02;-21.1553;-45.4714;25;400;1;3;6;COQ_02_2008_2014;2008;2014;2011;Semideciduous;10;156.9499248;160.8924296;3.731604969;3.038644046;0.692960922;43.11614731;5.216;1.388;77.92;3.088;1.068;1.04;4.355283887;5.396;3.584;56.4;1580.887894;244.5789045;20.79413879;27.37981661;814;385.6;398.65;2.175;392.125
CRR_01;-21.6121;-44.612;30;400;1.2;4;5;CRR_01_2001_2006;2001;2006;2003.5;Evergreen;36;100.046631;102.6838781;2.276286947;1.724838578;0.551448369;45.11025213;4.096666667;3.633333333;56.96666667;0.293333333;0.103333333;3.34;0.542361466;3.88;5.94;23;1804.189891;227.2756607;17.92015591;23.93337016;1475;371.14;381.9;2.152;376.52
CRR_01;-21.6121;-44.612;30;400;1.2;4;5;CRR_01_2006_2011;2006;2011;2008.5;Evergreen;36;102.6838781;106.3071945;2.699086372;1.941450913;0.757635459;39.38636259;4.096666667;3.633333333;56.96666667;0.293333333;0.103333333;3.34;0.542361466;3.88;5.94;23;1967.319072;215.0014477;17.81689204;23.83010626;1475;381.9;391.65;1.95;386.775
