site_year_temp;plot_code;lat;long;sampled_area_ha;year_i;year;c_stocks_ha;p;cec;som;clay;site_area_ha;cwd;map;mat;k;ca;mg;sb;forest_type
BAH_07_2002;BAH_07;-14.47048333;-44.18843333;2.04;1997;2002;45.72817358;15.50588235;13.34705882;4.711764706;11.37254902;25;777.3718927;954.1616861;24.00698;75.01960784;11.62941176;1.517647059;13.33892482;Deciduous
BAH_07_2009;BAH_07;-14.47048333;-44.18843333;2.04;2002;2009;43.2763378;15.50588235;13.34705882;4.711764706;11.37254902;25;789.3231275;907.6502331;24.14387187;75.01960784;11.62941176;1.517647059;13.33892482;Deciduous
BOC_01_2004;BOC_01;-22.161732;-44.465836;0.4;1999;2004;139.162178;3.01;2.93;4.16;28.4;3;240.3808258;1573.767995;18.00087297;40.7;0.75;0.3;1.154092072;Evergreen
BOC_01_2010;BOC_01;-22.161732;-44.465836;0.4;2004;2010;169.2349171;3.01;2.93;4.16;28.4;3;181.5798398;1739.353961;18.08478486;40.7;0.75;0.3;1.154092072;Evergreen
BOC_02_2001;BOC_02;-22.2175;-44.5389;1.04;1996;2001;89.94397427;1.784615385;2.273076923;3.557692308;36.61538462;20;167.8038998;1675.559793;17.06418065;14.73076923;0.338461538;0.119230769;0.495366909;Evergreen
BOC_02_2006;BOC_02;-22.2175;-44.5389;1.04;2001;2006;95.26157665;1.784615385;2.273076923;3.557692308;36.61538462;20;171.7560926;1697.727817;17.45635657;14.73076923;0.338461538;0.119230769;0.495366909;Evergreen
BOC_02_2014;BOC_02;-22.2175;-44.5389;1.04;2006;2014;103.8430715;1.784615385;2.273076923;3.557692308;36.61538462;20;161.5393294;1734.329589;17.41727904;14.73076923;0.338461538;0.119230769;0.495366909;Evergreen
BOC_02_2019;BOC_02;-22.2175;-44.5389;1.04;2014;2019;108.3764233;1.784615385;2.273076923;3.557692308;36.61538462;20;186.0775987;1478.18038;17.93991064;14.73076923;0.338461538;0.119230769;0.495366909;Evergreen
BON_01_2011;BON_01;-15.3116;-44.7349;0.6;2006;2011;119.369689;10.54666667;5.859333333;2.325333333;20.6;17;700.0368274;1038.320583;23.96734439;147.4666667;4.574666667;0.904666667;5.856485934;Deciduous
BON_01_2016;BON_01;-15.3116;-44.7349;0.6;2011;2016;120.0005737;10.54666667;5.859333333;2.325333333;20.6;17;795.4806782;876.2232415;24.12367238;147.4666667;4.574666667;0.904666667;5.856485934;Deciduous
BON_01_2018;BON_01;-15.3116;-44.7349;0.6;2016;2018;104.032474;10.54666667;5.859333333;2.325333333;20.6;17;792.0300788;860.4624816;24.34710999;147.4666667;4.574666667;0.904666667;5.856485934;Deciduous
COQ_01_2007;COQ_01;-21.094633;-45.348231;0.8;2002;2007;94.8883929;2.78;4.125;6.55;18.7;59;290.7563336;1554.502457;20.31585452;92.1;1.325;0.43;1.990549872;Semideciduous
COQ_01_2011;COQ_01;-21.094633;-45.348231;0.8;2007;2011;91.34352677;2.78;4.125;6.55;18.7;59;253.3601923;1728.944476;20.19808594;92.1;1.325;0.43;1.990549872;Semideciduous
COQ_01_2019;COQ_01;-21.094633;-45.348231;0.8;2011;2019;95.67594295;2.78;4.125;6.55;18.7;59;284.3370347;1402.826161;20.57885594;92.1;1.325;0.43;1.990549872;Semideciduous
COQ_02_2002;COQ_02;-21.1553;-45.4714;1;1997;2002;148.1302267;1.388;5.396;3.584;56.4;10;275.7198464;1466.644402;20.68814671;77.92;3.088;1.068;4.355283887;Semideciduous
COQ_02_2008;COQ_02;-21.1553;-45.4714;1;2002;2008;156.9499248;1.388;5.396;3.584;56.4;10;275.2622507;1537.063124;20.81797579;77.92;3.088;1.068;4.355283887;Semideciduous
COQ_02_2014;COQ_02;-21.1553;-45.4714;1;2008;2014;160.8924296;1.388;5.396;3.584;56.4;10;244.5789045;1580.887894;20.79413879;77.92;3.088;1.068;4.355283887;Semideciduous
CRR_01_2001;CRR_01;-21.6121;-44.612;1.2;1996;2001;100.046631;3.633333333;3.88;5.94;23;36;216.7433063;1754.614809;17.54800049;56.96666667;0.293333333;0.103333333;0.542361466;Evergreen
CRR_01_2006;CRR_01;-21.6121;-44.612;1.2;2001;2006;102.6838781;3.633333333;3.88;5.94;23;36;227.2756607;1804.189891;17.92015591;56.96666667;0.293333333;0.103333333;0.542361466;Evergreen
CRR_01_2011;CRR_01;-21.6121;-44.612;1.2;2006;2011;106.3071945;3.633333333;3.88;5.94;23;36;215.0014477;1967.319072;17.81689204;56.96666667;0.293333333;0.103333333;0.542361466;Evergreen
CRR_01_2019;CRR_01;-21.6121;-44.612;1.2;2011;2019;104.1066569;3.633333333;3.88;5.94;23;36;238.3613178;1615.518214;18.20472305;56.96666667;0.293333333;0.103333333;0.542361466;Evergreen
DEC_01_2005;DEC_01;-14.4138;-44.1627;0.8;2000;2005;40.54409548;2.24;13.179;4.532;29.7;50;799.6922734;917.6092032;24.78157435;138.1;11.155;1.665;13.17319693;Deciduous
DEC_01_2010;DEC_01;-14.4138;-44.1627;0.8;2005;2010;46.82535252;2.24;13.179;4.532;29.7;50;789.9968072;883.5775007;24.85965162;138.1;11.155;1.665;13.17319693;Deciduous
DEC_01_2015;DEC_01;-14.4138;-44.1627;0.8;2010;2015;49.18176432;2.24;13.179;4.532;29.7;50;885.1782168;744.3365955;24.84315168;138.1;11.155;1.665;13.17319693;Deciduous
